STATION,NAME,DATE,PRCP,SNOW,SNWD
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/1/16,0.06,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/2/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/3/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/4/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/5/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/6/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/7/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/8/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/9/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/10/16,0.13,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/11/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/12/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/13/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/14/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/15/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/16/16,0.57,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/17/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/18/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/25/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/27/16,0.06,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/28/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/29/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/30/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",1/31/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/1/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/2/16,0.05,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/22/16,0.24,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/23/16,0.24,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/24/16,0.22,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/25/16,0.47,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/28/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",2/29/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/1/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/2/16,0.08,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/3/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/4/16,0.45,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/5/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/6/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/7/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/8/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/9/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/11/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/12/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/13/16,0.03,,
