MUSYM,Soil_description,Top_layer,Middle_layer,Parent_material,Drainage,Hydric_soil_group,Hydric_soil,
5,Bethera silt loam,silt loam,clay loam,marine deposits,poorly drained,C/D,Yes,
11C,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,
15D,"Emporia complex, 10 to 15 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,
15F,"Emporia complex, 25 to 50 percent slopes",fine sandy loam,loam,marine deposits,well drained,B,No,
16,Izagora loam,fine sandy loam,clay loam,alluvium,moderately well drained,C,No,
23,Newflat silt loam,silt loam,clay,alluvium,somewhat poorly drained,D,No ,
27,Peawick silt loam,silt loam,silty clay,marine deposits,moderately well drained,D,No,
29A,"Slagle fine sandy loam, 0 to 2 percent slopes",fine sandy loam,clay loam,marine deposits,moderately well drained,C,No,
29B,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,
34B,"Uchee loamy fine sand, 2 to 6 percent slopes",loamy fine sand,sandy clay loam,marine deposits,well draimed,B,No,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,19B
,,,,,,,,15F
