"MUSYM","Index","Year","Sheet_ID","Date","Date_survey_started","Survey","No","Time","Y","X","SVL_mm","Color","Nuptial_Pads","gravid","Sex","Adjusted_sex","Mass","COMMENTS","LOCAL_NAME","FORM_NAME","ALLIAN_SCI","ALLIAN_ENG","ASSOC_SCI","AREASYMBOL","MUKEY","Soil_description","Top_layer","Middle_layer","Parent_material","Drainage","Hydric_soil_group","Hydric_soil","lineOrig"
"29A",98,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",1,"2106",4119957,365726,24,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",0
"29A",99,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",2,"2110",4119997,365757,28,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",1
"29A",100,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",3,"2119",4120092,365727,34,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",2
"29A",101,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",4,"2120",4120101,365789,40,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",3
"29A",102,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",5,"2126",4120136,365766,31,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",4
"29A",103,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",6,"2128",4120164,365768,28,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",5
"29A",104,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",7,"2131",4120152,365740,32,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",6
"29A",105,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",8,"2134",4120179,365760,40,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",7
"29A",106,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",9,"2137",4120182,365753,33,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",8
"29A",107,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",10,"2140",4120211,365767,33,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",9
"29A",108,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",11,"2142",4120197,365781,28,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",10
"29A",109,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",12,"2158",4120444,365757,38,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",11
"29A",110,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",13,"2159",4120431,365747,24,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",12
"29A",111,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",14,"2200",4120443,365745,36,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",13
"29A",112,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",15,"2200",4120443,365745,38,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",14
"29A",113,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",16,"2200",4120443,365745,34,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",15
"29A",114,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",17,"2205",4120451,365754,40,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",16
"29A",115,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",18,"2206",4120446,365753,22,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",17
"29A",116,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",19,"2207",4120452,365747,34,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",18
"29A",117,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",20,"2209",4120464,365746,42,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",19
"29A",118,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",21,"2211",4120476,365731,28,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",20
"29A",119,2016,"SCTR-12-Apr-2016-01","4/12/16","","0",22,"2211",4120476,365731,27,"G","N","DC",NA,NA,"-","","Successional Tuliptree - Loblolly Pine Forest","Lowland or submontane cold-deciduous forest","Liriodendron tulipifera Forest Alliance","Tuliptree Forest Alliance","Liriodendron tulipifera - Pinus taeda Forest","VA695",120820,"Slagle fine sandy loam, 0 to 2 percent slopes","fine sandy loam","clay loam","marine deposits","moderately well drained","C","No",21
