MUSYM,Index,Year,Sheet_ID,Date,Date_survey_started,Survey,No,Time,Y,X,SVL_mm,Color,Nuptial_Pads,gravid,Sex,Adjusted_sex,Mass,COMMENTS,LOCAL_NAME,FORM_NAME,ALLIAN_SCI,ALLIAN_ENG,ASSOC_SCI,AREASYMBOL,MUKEY,Soil_description,Top_layer,Middle_layer,Parent_material,Drainage,Hydric_soil_group,Hydric_soil,lineOrig,Dist_to_breeding_pool,Dist_to_wetland,Dist_to_meadow
11C,818,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,13,33,4120093,365111,35,GY,N,N,SNBA,S,-,,Cultural Meadow,Medium-tall sod temperate or subpolar grassland,Dactylis glomerata - Rumex acetosella Herbaceous Alliance,Orchard Grass - Common Sheep Sorrel Herbaceous Alliance,Dactylis glomerata - Phleum pratense - Festuca spp. - Solidago spp. Herbaceous Vegetation,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,0,216.135625,93.38356859,0
11C,538,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,73,1:16,4118512,366445,49.7,GY,N,Y,F,F,13.5,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,1,246.6985653,673.4549,18.31356618
11C,545,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,80,1:29,4118542,366456,41.3,DY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,2,270.1817431,659.7769368,27.78683906
11C,900,2016,SCTR-11-JUL-2016-01,11-Jul-16,11-Jul-16,9,2,-,4119552,364757,44.3,GY,N,N,SNBA,NBA,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,3,223.8246763,18.44539179,28.79303005
11C,901,2016,SCTR-11-JUL-2016-01,11-Jul-16,11-Jul-16,9,3,-,4119538,364752,43,G,N,N,SNBA,S,-,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,4,209.0077667,28.77471326,17.41500364
11C,817,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,12,32,4120097,365094,43.1,DY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,5,199.7875086,104.2952622,4.169186215
11C,822,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,17,38,4120109,365098,36.2,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,6,205.7789754,91.69809935,2.825875694
11C,534,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,69,1:13,4118516,366429,50.5,Y,Y,N,M,M,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,7,234.0579012,659.6332908,4.792627087
11C,820,2016,SCTR-23-MAY-2016-01,23-May-16,23-May-16,6,15,35,4120087,365088,39.1,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,8,192.6261291,115.8556268,4.5938
11C,544,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,79,1:28,4118546,366441,45,Y,Y,N,M,M,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,9,259.3229864,646.2837197,12.49909578
11C,546,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,81,1:30,4118532,366466,43.6,G,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,10,274.2994485,673.9178335,41.07135121
11C,547,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,82,1:32,4118540,366460,48.4,G,N,N,SNBA,NBA,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,11,272.7037044,664.0395036,32.25718483
11C,548,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,83,1:34,4118559,366457,42.6,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,12,279.7921455,648.7623373,21.7008158
11C,555,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,90,1:42,4118559,366467,39.8,GY,N,N,SNBA,S,-,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,13,288.2835263,656.1000002,31.3777215
11C,558,2016,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,2,93,1:47,4118586,366479,37.5,G,N,N,SNBA,S,9,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120798,"Craven-Uchee complex, 6 to 10 percent slopes",fine sandy loam,clay,marine deposits,moderately well drained,D,No,14,313.0404679,647.3131223,44.45100986
