Feature,Gain,Cover,Frequency,Importance
Distance.to.meadow,0.337969318,0.308056604,0.317042209,0.337969318
Distance.to.breeding.pool,0.308687229,0.340478313,0.331640749,0.308687229
Distance.to.other.wetland,0.308357201,0.311524873,0.314820692,0.308357201
Habitat.nameSuccessional.Tuliptree,0.01161554,0.00844826,0.006029832,0.01161554
Soil.texture..middle.clay.loam,0.007925624,0.013081385,0.010155506,0.007925624
Soil.texture..middle.sandy.clay.loam,0.007344507,0.003284647,0.003808315,0.007344507
Soil.texture..top.fine.sandy.loam,0.005839986,0.00451194,0.005712472,0.005839986
Habitat.nameMesic.Mixed.Hardwood.Forest,0.005292164,0.001437369,0.002221517,0.005292164
Soil.texture..middle.silty.clay,0.003234007,0.004130274,0.003808315,0.003234007
Drainagesomewhat.poorly.drained,0.001532646,0.001215771,0.000952079,0.001532646
Soil.texture..middle.clay,0.00129296,0.000267604,0.001904157,0.00129296
Soil.parent.materialalluvium,0.000789489,0.003446639,0.001586798,0.000789489
Drainagemoderately.well.drained,0.000119329,0.000116321,0.00031736,0.000119329
