Feature,Gain,Cover,Frequency,Importance
Distance.to.breeding.pool,0.345984129,0.367469766,0.466456128,0.345984129
Distance.to.other.wetland,0.313341003,0.295509247,0.270143394,0.313341003
Distance.to.meadow,0.275509516,0.291554312,0.226954592,0.275509516
Soil.texture.middle.clay.loam,0.033756935,0.002158152,0.005035848,0.033756935
Soil.parent.materialalluvium,0.008734485,0.005097368,0.003670195,0.008734485
Soil.texture.middle.clay,0.006063911,0.003759167,0.005035848,0.006063911
Soil.texture.middle.sandy.clay.loam,0.004307426,0.002928489,0.003926255,0.004307426
Habitat.nameSuccessional.Tuliptree,0.004091605,0.001173943,0.001194947,0.004091605
Soil.texture.top.fine.sandy.loam,0.003722983,0.001454188,0.004694435,0.003722983
Habitat.nameMesic.Mixed.Hardwood.Forest,0.001483424,0.005314591,0.002389894,0.001483424
Drainagesomewhat.poorly.drained,0.000780824,0.002915081,0.001536361,0.000780824
Drainagepoorly.drained,0.000684248,0.007795226,0.001963127,0.000684248
Soil.texture.middle.silty.clay,0.000646248,0.001088797,0.003072721,0.000646248
Habitat.nameLoblolly.Pine.Plantation,0.000499096,0.009095212,0.002389894,0.000499096
Habitat.nameSuccessional.Black.Walnut.Forest,0.000392222,0.002604666,0.001109594,0.000392222
Drainagemoderately.well.drained,1.94E-06,8.18E-05,0.000426767,1.94E-06
